standard_id,title,description,category,department,year,status,supersedes,certification_scheme,qco_applicable,qco_reference
IS 15886:2010,Point of Sale (POS) Terminals - Functional Requirements,Financial transaction security and EMV chip card compliance for POS machines,Electronics & IT,LITD 18,2010,Active,,Scheme-II / CRS,True,Electronics & IT Products (Quality Control) Order
IS 16076:2015,Server Systems - Environmental Testing and Operational Limits,"High temperature, vibration, and thermal cycling for enterprise datacenter servers",Electronics & IT,LITD 07,2015,Active,,Scheme-II / CRS,True,Electronics & IT Products (Quality Control) Order
IS 16333 (Part 3):2017,Mobile Phone Handsets - Part 3: Indian Language Support for Mobile Phone Handsets,Mandatory requirement for 22 Indian official language reading and writing on digital devices,Electronics & IT,LITD 07,2017,Active,,Scheme-II / CRS,True,Electronics & IT Products (Quality Control) Order
IS 8112:2013,"Ordinary Portland Cement, 43 Grade - Specification",43 Grade OPC cement for general concrete construction and plastering,Civil & Construction,CED 02,2013,Active,,Scheme-I / ISI Mark,True,Civil & Construction Products (Quality Control) Order
IS 12269:2013,"Ordinary Portland Cement, 53 Grade - Specification",53 Grade high early-strength OPC cement for prestressed concrete and bridges,Civil & Construction,CED 02,2013,Active,,Scheme-I / ISI Mark,True,Civil & Construction Products (Quality Control) Order
IS 1489 (Part 1):2015,Portland Pozzolana Cement - Specification - Part 1: Fly Ash Based,"PPC fly ash cement for marine works, mass concreting, and durable buildings",Civil & Construction,CED 02,2015,Active,,Scheme-I / ISI Mark,True,Civil & Construction Products (Quality Control) Order
IS 1489 (Part 2):2015,Portland Pozzolana Cement - Specification - Part 2: Calcined Clay Based,PPC calcined clay cement for sulphate resistant foundations,Civil & Construction,CED 02,2015,Active,,Scheme-I / ISI Mark,True,Civil & Construction Products (Quality Control) Order
IS 455:2015,Portland Slag Cement - Specification,PSC slag cement utilizing blast furnace slag for sewage and chemical exposure structures,Civil & Construction,CED 02,2015,Active,,Scheme-I / ISI Mark,True,Civil & Construction Products (Quality Control) Order
IS 12330:1988,Sulphate Resisting Portland Cement - Specification,Special cement for coastal foundations and high-sulphate soils,Civil & Construction,CED 02,1988,Active,,Scheme-I / ISI Mark,True,Civil & Construction Products (Quality Control) Order
IS 3495 (Part 1 to 4):2019,Methods of Tests of Burnt Clay Building Bricks,Standard test methods for compressive strength and efflorescence,Civil & Construction,CED 30,2019,Active,,Scheme-I / Testing Code,False,
IS 12894:2002,Pulverized Fuel Ash-Lime Bricks - Specification,Eco-friendly flyash lime bricks for public green building mandates,Civil & Construction,CED 30,2002,Active,,Scheme-I / ISI Mark,False,
IS 2185 (Part 3):1984,Concrete Masonry Units - Autoclaved Cellular (Aerated) Concrete Blocks (AAC Blocks),"Thermal insulating, lightweight AAC blocks for high-rise building walls",Civil & Construction,CED 30,1984,Active,,Scheme-I / ISI Mark,False,
IS 11652:2000,High Density Polyethylene (HDPE) Woven Sacks for Packing of 50 kg Cement,Bursting strength and drop test for cement packaging bags,Civil & Construction,TXD 23,2000,Active,,Scheme-I / ISI Mark,True,Civil & Construction Products (Quality Control) Order
IS 800:2007,General Construction in Steel - Code of Practice,"Working stress and limit state design of steel frames, roof trusses, and towers",Civil & Construction,CED 07,2007,Active,,Scheme-IV / Code of Practice,False,
IS 1161:2014,Steel Tubes for Structural Purposes - Specification,"Hollow circular steel sections for stadium canopies, trusses, and railings",Civil & Construction,CED 07,2014,Active,,Scheme-I / ISI Mark,True,Civil & Construction Products (Quality Control) Order
IS 4923:2017,Hollow Steel Sections for Structural Use (RHS and SHS),Rectangular and square hollow steel sections for architectural framing,Civil & Construction,CED 07,2017,Active,,Scheme-I / ISI Mark,True,Civil & Construction Products (Quality Control) Order
IS 1239 (Part 1):2004,"Steel Tubes, Tubulars and Other Wrought Steel Fittings - Part 1: Steel Tubes (GI Pipes)","Galvanized mild steel pipes (Class A, B, C) for plumbing and fire sprinkler lines",Civil & Construction,CED 50,2004,Active,,Scheme-I / ISI Mark,True,Civil & Construction Products (Quality Control) Order
IS 1239 (Part 2):1992,"Mild Steel Tubes, Tubulars and Other Wrought Steel Fittings - Part 2: Mild Steel Tubulars and Fittings","Threaded elbows, tees, and unions for galvanized steel piping",Civil & Construction,CED 50,1992,Active,,Scheme-I / ISI Mark,True,Civil & Construction Products (Quality Control) Order
IS 3589:2001,Steel Pipes for Water and Sewage (168.3 to 2540 mm Outside Diameter),Large diameter submerged arc welded (SAW) steel pipes for cross-country water supply,Civil & Construction,CED 50,2001,Active,,Scheme-I / ISI Mark,True,Civil & Construction Products (Quality Control) Order
IS 15778:2007,Chlorinated Polyvinyl Chloride (CPVC) Pipes for Potable Hot and Cold Water Distribution Supplies,High-temperature CPVC plumbing pipes for hospital and residential hot water plumbing,Civil & Construction,CED 50,2007,Active,,Scheme-I / ISI Mark,True,Civil & Construction Products (Quality Control) Order
IS 4984:2016,High Density Polyethylene (HDPE) Pipes for Water Supply - Specification,PE 80 and PE 100 grade HDPE butt-welded pipes for trenchless pipe laying,Civil & Construction,CED 50,2016,Active,,Scheme-I / ISI Mark,True,Civil & Construction Products (Quality Control) Order
IS 14333:1996,High Density Polyethylene (HDPE) Pipes for Sewerage,Corrosion-resistant flexible HDPE pipes for industrial effluent and municipal sewers,Civil & Construction,CED 50,1996,Active,,Scheme-I / ISI Mark,True,Civil & Construction Products (Quality Control) Order
IS 1536:2001,"Centrifugally Cast (Spun) Iron Pressure Pipes for Water, Gas and Sewage",Cast iron pressure pipes for water mains,Civil & Construction,CED 50,2001,Active,,Scheme-I / ISI Mark,True,Civil & Construction Products (Quality Control) Order
IS 1538:1993,"Cast Iron Fittings for Pressure Pipes for Water, Gas and Sewage",Flanged cast iron bends and reducers for pipeline connections,Civil & Construction,CED 50,1993,Active,,Scheme-I / ISI Mark,True,Civil & Construction Products (Quality Control) Order
IS 458:2021,Precast Concrete Pipes (With and Without Reinforcement) - Specification,"NP2, NP3, and NP4 class RCC Hume pipes for culverts, road crossings, and drainage",Civil & Construction,CED 53,2021,Active,,Scheme-I / ISI Mark,True,Civil & Construction Products (Quality Control) Order
IS 783:1985,Code of Practice for Laying of Concrete Pipes,"Bedding, jointing, and backfilling for underground RCC storm water drains",Civil & Construction,CED 53,1985,Active,,Scheme-IV / Code of Practice,False,
IS 73:2013,Paving Bitumen - Specification,"Viscosity-graded paving bitumen (VG-10, VG-30, VG-40) for highway asphalt road carpeting",Civil & Construction,CED 17,2013,Active,,Scheme-I / ISI Mark,True,Civil & Construction Products (Quality Control) Order
IS 8887:2018,Bitumen Emulsion for Roads (Cationic Type) - Specification,Rapid setting (RS) and slow setting (SS) emulsion for tack coat and prime coat in road construction,Civil & Construction,CED 17,2018,Active,,Scheme-I / ISI Mark,True,Civil & Construction Products (Quality Control) Order
IS 15462:2019,Polymer and Rubber Modified Bitumen - Specification,Crumb rubber modified bitumen (CRMB) for heavy traffic national highways,Civil & Construction,CED 17,2019,Active,,Scheme-I / ISI Mark,True,Civil & Construction Products (Quality Control) Order
IS 9137:2019,"Acceptance Tests for Centrifugal, Mixed Flow and Axial Pumps - Class C","Standard measurement of head, discharge, power, and cavitation in pump testing",Mechanical,MED 20,2019,Active,,Scheme-I / Testing Code,False,
IS 5120:1977,Technical Requirements for Rotodynamic Special Purpose Pumps,"Casing pressure limits, shaft deflection, and bearing life for industrial water pumps",Mechanical,MED 20,1977,Active,,Scheme-IV / Engineering Code,False,
IS 9283:2013,Motors for Submersible Pumpsets - Specification,Wet-type and water-filled motors for deepwell submersible pump operations,Mechanical,ETD 15 / MED 20,2013,Active,,Scheme-I / ISI Mark,True,Mechanical Products (Quality Control) Order
IS 14220:1994,Openwell Submersible Pumpsets - Specification,"Single and multi-stage submersible pumps for rivers, open farm wells, and sumps",Mechanical,MED 20,1994,Active,,Scheme-I / ISI Mark,True,Mechanical Products (Quality Control) Order
IS 8472:2019,Regenerative Pumps for Clean Water - Specification,Self-priming domestic booster regenerative pumps for overhead water tanks,Mechanical,MED 20,2019,Active,,Scheme-I / ISI Mark,True,Mechanical Products (Quality Control) Order
IS 778:1984,"Specification for Copper Alloy Gate, Globe and Check Valves for Water Works Purposes","Bronze and brass plumbing valves, non-return check valves, and stop cocks",Mechanical,MED 03,1984,Active,,Scheme-I / ISI Mark,True,Mechanical Products (Quality Control) Order
IS 5312 (Part 1):2004,Swing Check Type Reflux (Non-Return) Valves for Water Works Purposes - Single Door Pattern,Non-return valves preventing backflow and water hammer in sewage pumping stations,Mechanical,MED 03,2004,Active,,Scheme-I / ISI Mark,True,Mechanical Products (Quality Control) Order
IS 14845:2000,Resilient Seated Cast Iron Air Release Valves for Water Works,Kinetic single and double orifice air release valves for preventing pipe vacuum burst,Mechanical,MED 03,2000,Active,,Scheme-I / ISI Mark,True,Mechanical Products (Quality Control) Order
IS 2190:2010,"Selection, Installation and Maintenance of First-Aid Fire Extinguishers - Code of Practice",Mandatory fire safety audit schedule for commercial and hospital buildings,Mechanical,MED 22,2010,Active,,Scheme-IV / Fire Code,False,
IS 4308:2019,Dry Chemical Powder for Fire Fighting - Specification,Sodium bicarbonate and potassium bicarbonate powders for Class B and C fires,Mechanical,MED 22,2019,Active,,Scheme-I / ISI Mark,True,Mechanical Products (Quality Control) Order
IS 1460:2017,Automotive Diesel Fuels - Specification,BS-VI ultra low sulphur diesel (max 10 ppm sulphur) for government transport fleets,Mechanical,PCD 03,2017,Active,,Scheme-I / ISI Mark,True,Mechanical Products (Quality Control) Order
IS 2796:2017,Motor Gasoline (Petrol) - Specification,"BS-VI ethanol-blended motor spirit (E10, E20) for state transport vehicles",Mechanical,PCD 03,2017,Active,,Scheme-I / ISI Mark,True,Mechanical Products (Quality Control) Order
IS 10654:2020,Sterile Hypodermic Needles for Single Use - Specification,"Needle sharpness, bevel angle, flow rate, and sterility for hospital injection needles",Medical Devices,MHD 12,2020,Active,,Scheme-I / CDSCO Device,True,Medical Devices Products (Quality Control) Order
IS 4148:1989,Surgical Rubber Gloves - Specification,Non-sterile medical examination gloves for clinic checkups,Medical Devices,MHD 12,1989,Active,,Scheme-I / ISI Mark,True,Medical Devices Products (Quality Control) Order
IS/ISO 10993-1:2018,Biological Evaluation of Medical Devices - Part 1: Evaluation and Testing Within a Risk Management Process,"Cytotoxicity, sensitization, and irritation testing for all invasive medical equipment",Medical Devices,MHD 19,2018,Active,,Scheme-IV / Global Standard,False,
IS/ISO 13485:2016,Medical Devices - Quality Management Systems - Requirements for Regulatory Purposes,Mandatory QMS standard for medical equipment manufacturers in government tenders,Medical Devices,MHD 19,2016,Active,,Scheme-IV / QMS Certification,False,
IS 13450 (Part 2/Sec 2):2018,Particular Requirements for the Basic Safety and Essential Performance of High Frequency Surgical Equipment,Electrosurgical cautery units safety in operating theaters,Medical Devices,MHD 15,2018,Active,,Scheme-I / CDSCO Regulated,True,Medical Devices Products (Quality Control) Order
IS 17334:2020,Coveralls for Healthcare Workers - Specification,Fluid penetration resistance and seam sealing for viral protection PPE coverall kits,Medical Devices,TXD 32,2020,Active,,Scheme-I / ISI Mark,True,Medical Devices Products (Quality Control) Order
IS 16289:2014,Medical Textiles - Surgical Face Masks - Specification,3-ply disposable surgical face masks bacterial filtration efficiency (BFE >= 98%),Medical Devices,TXD 32,2014,Active,,Scheme-I / ISI Mark,True,Medical Devices Products (Quality Control) Order
IS 1070:1992,Water for Analytical Laboratory Use - Specification,"Grade 1, 2, and 3 distilled and deionized water for analytical laboratories",Chemicals,CHD 01,1992,Active,,Scheme-I / Lab Standard,False,
IS 1065:1989,"Bleaching Powder, Stable - Specification",Chlorine content (min 34%) for municipal drinking water disinfection and sanitation,Chemicals,CHD 02,1989,Active,,Scheme-I / ISI Mark,True,Chemicals Products (Quality Control) Order
IS 517:2020,Methanol (Methyl Alcohol) - Specification,Industrial purity and distillation range for chemical processing,Chemicals,CHD 04,2020,Active,,Scheme-I / ISI Mark,True,Chemicals Products (Quality Control) Order
IS 321:2020,Absolute Alcohol - Specification,Industrial anhydrous ethanol for fuel blending (E20 program) and solvents,Chemicals,CHD 04,2020,Active,,Scheme-I / ISI Mark,True,Chemicals Products (Quality Control) Order
IS 54:1988,Nitric Acid - Specification,Technical and pure grades for fertilizer and explosives manufacturing,Chemicals,CHD 01,1988,Active,,Scheme-I / ISI Mark,True,Chemicals Products (Quality Control) Order
IS 10116:2015,Polyvinyl Chloride (PVC) Resins - Specification,Suspension PVC resins for manufacturing potable water pipes and cable insulation,Chemicals,CHD 12,2015,Active,,Scheme-I / ISI Mark,True,Chemicals Products (Quality Control) Order
IS 7328:2020,High Density Polyethylene (HDPE) Materials for Moulding and Extrusion,Melt flow index and density for HDPE pipe raw granules,Chemicals,CHD 12,2020,Active,,Scheme-I / ISI Mark,True,Chemicals Products (Quality Control) Order
IS 1165:2002,Milk-Powder - Specification,Whole milk and skimmed milk powder for mid-day meal schemes and public distribution,Food & Agriculture,FAD 19,2002,Active,,Scheme-I / ISI Mark,True,Food & Agriculture Products (Quality Control) Order
IS 1166:1986,"Condensed Milk, Partly Skimmed and Skimmed Condensed Milk - Specification",Sweetened condensed milk for food processing,Food & Agriculture,FAD 19,1986,Active,,Scheme-I / ISI Mark,True,Food & Agriculture Products (Quality Control) Order
IS 1656:2007,Milk Cereal Based Weaning Foods - Specification,Nutritional fortification and microbiological safety for infant child welfare programs,Food & Agriculture,FAD 19,2007,Active,,Scheme-I / ISI Mark,True,Food & Agriculture Products (Quality Control) Order
IS 15757:2007,Follow-Up Formula - Complementary Food - Specification,Fortified formula food for infant welfare distribution,Food & Agriculture,FAD 19,2007,Active,,Scheme-I / ISI Mark,True,Food & Agriculture Products (Quality Control) Order
IS 7874 (Part 1):1975,Methods of Tests for Animal Feeds and Feeding Stuffs - Part 1: General Methods,"Moisture, crude protein, and mineral matter testing in animal fodder",Food & Agriculture,FAD 05,1975,Active,,Scheme-I / Testing Standard,False,
IS 3025 (Part 1 to 60),Methods of Sampling and Test (Physical and Chemical) for Water and Wastewater,National reference protocol for municipal water lab analysis,Food & Agriculture,FAD 14,2019,Active,,Scheme-IV / Testing Protocol,False,
IS 13947 (Part 3):1993,"Low-Voltage Switchgear and Controlgear - Switches, Disconnectors and Fuse-Combination Units",Air break switches and load break isolators,Electrical,ETD 07,1993,Active,,Scheme-I / ISI Mark,True,Electrical Products (Quality Control) Order
IS 13947 (Part 5/Sec 1):2004,Control Circuit Devices and Switching Elements - Electromechanical Control Circuit Devices,"Push buttons, selector switches and limit switches",Electrical,ETD 07,2004,Active,,Scheme-I / ISI Mark,True,Electrical Products (Quality Control) Order
IS 13032:1991,AC Miniature Circuit-Breaker Boards for Rated Voltages up to and including 500 V,Enclosed metal distribution boards for MCBs,Electrical,ETD 07,1991,Active,,Scheme-I / ISI Mark,True,Electrical Products (Quality Control) Order
IS 8828:1996,Electrical Accessories - Circuit-Breakers for Overcurrent Protection (MCB),Preceding standard for MCB breakers,Electrical,ETD 07,1996,Active,,Scheme-I / ISI Mark,True,Electrical Products (Quality Control) Order
IS 13703 (Part 1):1993,Low-Voltage Fuses for Rated Voltages not Exceeding 1000 V AC - General Requirements,HRC cartridge fuse links for industrial panels,Electrical,ETD 07,1993,Active,,Scheme-I / ISI Mark,True,Electrical Products (Quality Control) Order
IS 13703 (Part 2/Sec 1):1993,Low-Voltage Fuses - Fuses for Use by Authorized Persons (Mainly for Industrial Application),Industrial blade-type knife fuses,Electrical,ETD 07,1993,Active,,Scheme-I / ISI Mark,True,Electrical Products (Quality Control) Order
IS 4237:1982,General Requirements for Switchgear and Controlgear for Voltages not Exceeding 1000 V AC,Clearance and creepage distances in industrial controlgear,Electrical,ETD 07,1982,Active,,Scheme-IV / Engineering Code,False,
IS 2147:1962,Degrees of Protection Provided by Enclosures for Low-Voltage Switchgear and Controlgear,Ingress protection (IP code) test protocols,Electrical,ETD 07,1962,Active,,Scheme-IV / Testing Code,False,
IS 14697:1999,"AC Static Transformer Operated Watthour and VAR-Hour Meters, Class 0.2S and 0.5S",High accuracy grid boundary and tariff trivector meters,Electrical,ETD 13,1999,Active,,Scheme-I / ISI Mark,True,Electrical Products (Quality Control) Order
IS 15959 (Part 2):2013,Data Exchange for Electricity Meter Reading - Smart Meter Companion Standard,Communication security for smart prepaid meters,Electrical,ETD 13,2013,Active,,Scheme-I / ISI Mark,True,Electrical Products (Quality Control) Order
IS 1445:1977,Porcelain Insulators for Overhead Power Lines with a Nominal Voltage up to and including 1000 V,Pin and shackle porcelain insulators for LT distribution,Electrical,ETD 06,1977,Active,,Scheme-I / ISI Mark,True,Electrical Products (Quality Control) Order
IS 731:1971,Porcelain Insulators for Overhead Power Lines with a Nominal Voltage Greater than 1000 V,Disc and pin insulators for 11kV and 33kV distribution,Electrical,ETD 06,1971,Active,,Scheme-I / ISI Mark,True,Electrical Products (Quality Control) Order
IS 2544:1973,Porcelain Post Insulators for Systems with Nominal Voltages Greater than 1000 V,Substation busbar post insulators,Electrical,ETD 06,1973,Active,,Scheme-I / ISI Mark,True,Electrical Products (Quality Control) Order
IS 5561:1970,Electric Power Connectors - Specification,Bimetallic and terminal clamps for substation transformers and switchgear,Electrical,ETD 40,1970,Active,,Scheme-I / ISI Mark,True,Electrical Products (Quality Control) Order
IS 3070 (Part 3):1993,Lightning Arresters for Alternating Current Systems - Metal Oxide Surge Arresters without Gaps,Gapless zinc-oxide surge arresters for 11kV/33kV substations,Electrical,ETD 30,1993,Active,,Scheme-I / ISI Mark,True,Electrical Products (Quality Control) Order
IS 2705 (Part 1):1992,Current Transformers - General Requirements,Instrument current transformers for protection relays and revenue metering,Electrical,ETD 34,1992,Active,,Scheme-I / ISI Mark,True,Electrical Products (Quality Control) Order
IS 2705 (Part 2):1992,Current Transformers - Measuring Current Transformers,Metering CTs for electricity billing boards,Electrical,ETD 34,1992,Active,,Scheme-I / ISI Mark,True,Electrical Products (Quality Control) Order
IS 3156 (Part 1):1992,Voltage Transformers - General Requirements,Potential transformers for voltage measurement and protection,Electrical,ETD 34,1992,Active,,Scheme-I / ISI Mark,True,Electrical Products (Quality Control) Order
IS 3231 (Part 1):1986,Electrical Relays for Power System Protection - General Requirements,Overcurrent and earth fault protection relays,Electrical,ETD 35,1986,Active,,Scheme-I / ISI Mark,True,Electrical Products (Quality Control) Order
IS 8686:1977,Static Protective Relays - Specification,Numerical electronic protective relays for substation automation,Electrical,ETD 35,1977,Active,,Scheme-I / ISI Mark,True,Electrical Products (Quality Control) Order
IS 1554 (Part 1):1988,PVC Insulated (Heavy Duty) Electric Cables for Working Voltages up to and including 1100 V,Heavy duty PVC power cables for industrial plants,Electrical,ETD 09,1988,Active,,Scheme-I / ISI Mark,True,Electrical Products (Quality Control) Order
IS 9968 (Part 1):1988,Elastomer Insulated Cables - For Working Voltages up to and including 1100 V,Rubber insulated trailing and welding cables,Electrical,ETD 09,1988,Active,,Scheme-I / ISI Mark,True,Electrical Products (Quality Control) Order
IS 14255:1995,Aerial Bunched Cables for Working Voltages up to and including 1100 V,LT-AB cables preventing power theft and short circuits in rural electrification,Electrical,ETD 09,1995,Active,,Scheme-I / ISI Mark,True,Electrical Products (Quality Control) Order
IS 7943:1976,Specification for Industrial Safety Helmets,Electrical non-conductive dielectric hard hats for line workers,Electrical,CHD 08,1976,Active,,Scheme-I / ISI Mark,True,Electrical Products (Quality Control) Order
IS 4770:1991,Rubber Gloves for Electrical Purposes,Dielectric insulating rubber gloves for live line electricians (Class 00 to 4),Electrical,ETD 23,1991,Active,,Scheme-I / ISI Mark,True,Electrical Products (Quality Control) Order
IS 15652:2006,Insulating Mats for Electrical Purposes,Elastomeric dielectric floor mats for electrical substation panels,Electrical,ETD 23,2006,Active,,Scheme-I / ISI Mark,True,Electrical Products (Quality Control) Order
IS 9537 (Part 2):1981,Conduits for Electrical Installations - Rigid Steel Conduits,Heavy gauge threaded ERW steel conduits for fire-safe electrical wiring,Electrical,ETD 14,1981,Active,,Scheme-I / ISI Mark,True,Electrical Products (Quality Control) Order
IS 9537 (Part 3):1983,Conduits for Electrical Installations - Rigid Non-Metallic Conduits (PVC Conduits),Fire-retardant PVC electrical conduit pipes for building wall chasing,Electrical,ETD 14,1983,Active,,Scheme-I / ISI Mark,True,Electrical Products (Quality Control) Order
IS 3419:1989,Fittings for Rigid Non-Metallic Conduits,"PVC junction boxes, inspection bends, and conduit saddles",Electrical,ETD 14,1989,Active,,Scheme-I / ISI Mark,True,Electrical Products (Quality Control) Order
IS 14927 (Part 2):2001,Cable Trunking and Ducting Systems for Electrical Installations,Perforated cable trays and raceways for commercial IT buildings,Electrical,ETD 14,2001,Active,,Scheme-I / ISI Mark,True,Electrical Products (Quality Control) Order
IS 1566:1982,Hard-Drawn Steel Wire Fabric for Concrete Reinforcement,Welded wire mesh for RCC floor slabs and road pavements,Civil & Construction,CED 54,1982,Active,,Scheme-I / ISI Mark,True,Civil & Construction Products (Quality Control) Order
IS 432 (Part 1):1982,Mild Steel and Medium Tensile Steel Bars and Hard-Drawn Steel Wire for Concrete Reinforcement,Plain round mild steel bars for dowels and stirrups,Civil & Construction,CED 54,1982,Active,,Scheme-I / ISI Mark,True,Civil & Construction Products (Quality Control) Order
IS 280:2006,Mild Steel Wire for General Engineering Purposes (Binding Wire),Annealed binding wire for tying TMT reinforcement bars,Civil & Construction,CED 54,2006,Active,,Scheme-I / ISI Mark,True,Civil & Construction Products (Quality Control) Order
IS 14268:2022,Prestressing Steel - Uncoated Stress-Relieved Low Relaxation Seven-Ply Strand for Prestressed Concrete,"High-tensile LRPC strands for flyovers, metro viaducts, and bridge girders",Civil & Construction,CED 54,2022,Active,,Scheme-I / ISI Mark,True,Civil & Construction Products (Quality Control) Order
IS 1079:2017,Hot Rolled Carbon Steel Sheet and Strip - Specification,Commercial and forming grade sheet steel for pre-engineered buildings,Civil & Construction,MTD 04,2017,Active,,Scheme-I / ISI Mark,True,Civil & Construction Products (Quality Control) Order
IS 513 (Part 1):2016,Cold Reduced Carbon Steel Sheet and Strip - Part 1: Cold Forming and Drawing Steel,CRCA steel sheets for electrical enclosures and panels,Civil & Construction,MTD 04,2016,Active,,Scheme-I / ISI Mark,True,Civil & Construction Products (Quality Control) Order
IS 277:2018,Galvanized Steel Sheets (Plain and Corrugated) - Specification,GI roofing sheets for industrial warehouses and military shelters,Civil & Construction,MTD 04,2018,Active,,Scheme-I / ISI Mark,True,Civil & Construction Products (Quality Control) Order
IS 15965:2012,Pre-Painted Galvanized Steel Sheets and Coils,Color coated profile roofing sheets for pre-engineered metal buildings,Civil & Construction,MTD 04,2012,Active,,Scheme-I / ISI Mark,True,Civil & Construction Products (Quality Control) Order
IS 1363 (Part 1):2019,"Hexagon Head Bolts, Screws and Nuts of Product Grade C - Part 1: Hexagon Head Bolts",Black structural bolts for structural steel trusses,Civil & Construction,PGD 31,2019,Active,,Scheme-I / ISI Mark,True,Civil & Construction Products (Quality Control) Order
IS 1367 (Part 3):2017,"Technical Supply Conditions for Threaded Steel Fasteners - Property Classes of Bolts, Screws and Studs",High strength friction grip (HSFG) grade 8.8 and 10.9 structural fasteners,Civil & Construction,PGD 31,2017,Active,,Scheme-I / ISI Mark,True,Civil & Construction Products (Quality Control) Order
IS 9103:1999,Concrete Admixtures - Specification,"Superplasticizers, set retarders, and accelerators for high-strength RMC concrete",Civil & Construction,CED 02,1999,Active,,Scheme-I / ISI Mark,True,Civil & Construction Products (Quality Control) Order
IS 516 (Part 1/Sec 1):2021,"Hardened Concrete - Methods of Test - Compressive, Flexural and Split Tensile Strength",Standard cube crushing test for concrete acceptance,Civil & Construction,CED 02,2021,Active,,Scheme-IV / Testing Code,False,
IS 1199 (Part 2):2018,"Fresh Concrete - Methods of Sampling, Testing and Analysis - Workability and Consistency",Slump cone test and compaction factor for fresh concrete,Civil & Construction,CED 02,2018,Active,,Scheme-IV / Testing Code,False,
IS 2386 (Part 1):1963,Methods of Test for Aggregates for Concrete - Particle Size and Shape,Sieve analysis for fine and coarse concrete aggregates,Civil & Construction,CED 02,1963,Active,,Scheme-IV / Testing Code,False,
IS 2386 (Part 4):1963,Methods of Test for Aggregates for Concrete - Mechanical Properties,"Aggregate crushing value, impact value, and abrasion resistance",Civil & Construction,CED 02,1963,Active,,Scheme-IV / Testing Code,False,
IS 2720 (Part 2):1973,Methods of Test for Soils - Determination of Water Content,Moisture density relation for road subgrade compaction,Civil & Construction,CED 43,1973,Active,,Scheme-IV / Soil Testing,False,
IS 2720 (Part 5):1985,Methods of Test for Soils - Determination of Liquid and Plastic Limit,Atterberg limits for highway road foundation testing,Civil & Construction,CED 43,1985,Active,,Scheme-IV / Soil Testing,False,
IS 2720 (Part 16):1979,Methods of Test for Soils - Laboratory Determination of CBR,California Bearing Ratio (CBR) test for flexible road pavement design,Civil & Construction,CED 43,1979,Active,,Scheme-IV / Soil Testing,False,
IS 1200 (Part 1):1992,Method of Measurement of Building and Civil Engineering Works - Earthwork,Standard quantification code for contractor billing,Civil & Construction,CED 44,1992,Active,,Scheme-IV / Measurement Code,False,
IS 1200 (Part 2):1974,Method of Measurement of Building and Civil Engineering Works - Concrete Works,Measurement protocol for plain and reinforced concrete works,Civil & Construction,CED 44,1974,Active,,Scheme-IV / Measurement Code,False,
IS 1239 (Part 1) / C:2004,Steel Tubes (Heavy Class C) - Red Band Pipes,High pressure boiler and industrial utility piping,Mechanical,CED 50,2004,Active,,Scheme-I / ISI Mark,True,Mechanical Products (Quality Control) Order
IS 6392:1971,Steel Pipe Flanges - Specification,Weld neck and slip-on steel flanges for industrial pipelines,Mechanical,MED 03,1971,Active,,Scheme-I / ISI Mark,True,Mechanical Products (Quality Control) Order
IS 779:1994,Water Meters (Domestic Type) - Specification,Multi-jet and inferential mechanical water meters for municipal revenue billing,Mechanical,CED 50,1994,Active,,Scheme-I / ISI Mark,True,Mechanical Products (Quality Control) Order
IS 6784:1996,Method for Performance Testing of Water Meters,"Accuracy of water meters at minimum, transitional, and overload flow rates",Mechanical,CED 50,1996,Active,,Scheme-IV / Testing Code,False,
IS 2065:1983,Code of Practice for Water Supply in Buildings,Hydraulic sizing of overhead storage tanks and booster pumps,Mechanical,CED 24,1983,Active,,Scheme-IV / Building Code,False,
IS 1172:1993,"Code of Basic Requirements for Water Supply, Drainage and Sanitation",Per capita daily water consumption design figures (135 LPCD),Mechanical,CED 24,1993,Active,,Scheme-IV / National Code,False,
IS 1742:1983,Code of Practice for Building Drainage,"Gully traps, manholes, and underground sewage lines inside building premises",Mechanical,CED 24,1983,Active,,Scheme-IV / Code of Practice,False,
IS 2470 (Part 1):1985,Code of Practice for Design and Construction of Septic Tanks - Part 1: Small Installations,Sizing of septic tanks and soak pits for institutions and residential colonies,Mechanical,CED 24,1985,Active,,Scheme-IV / Code of Practice,False,
IS 2470 (Part 2):1985,Code of Practice for Design and Construction of Septic Tanks - Part 2: Large Installations,Secondary effluent disposal and soakage trenches,Mechanical,CED 24,1985,Active,,Scheme-IV / Code of Practice,False,
IS 3103:1980,Code of Practice for Industrial Ventilation,"Fresh air changes, dust extraction, and industrial exhaust hoods",Mechanical,MED 09,1980,Active,,Scheme-IV / Ventilation Code,False,
IS 16886:2018,Biometric Devices for Aadhaar Authentication - Part 1: Fingerprint Scanners,Optical and capacitive fingerprint scanners for public food ration PDS distribution,Electronics & IT,LITD 18,2018,Active,,Scheme-II / CRS,True,Electronics & IT Products (Quality Control) Order
IS 16887:2018,Biometric Devices for Aadhaar Authentication - Part 2: Iris Scanners,Dual iris biometric scanners for civil registration and border control,Electronics & IT,LITD 18,2018,Active,,Scheme-II / CRS,True,Electronics & IT Products (Quality Control) Order
IS 18000:2022,Public Data Office Aggregator (PDOA) Wi-Fi Access Points - Security Requirements,PM-WANI public Wi-Fi routers and cloud access point controllers,Electronics & IT,LITD 27,2022,Active,,Scheme-II / CRS,True,Electronics & IT Products (Quality Control) Order
